2026-01-20 11:52:41.689 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.689 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.690 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.690 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.691 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.691 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.692 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.692 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.694 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.694 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
